"id","learning_rate","num_hidden","num_neurons","dropout_hidden","mse"
367,0.04,4,400,0.2,2.58345001678523
449,0.1,5,200,0.1,2.59683605409654
482,0.04,2,500,0.1,2.64437667073743
305,0.14,1,100,0.2,2.64903153840328
162,0.04,3,400,0.4,2.69190907579255
343,0.06,4,200,0.2,2.76476171645131
204,0.1,1,100,0.3,2.89107157859403
228,0.06,1,200,0.3,2.97632583598821
420,0.14,4,100,0.1,2.97986290895079
109,0.1,2,100,0.4,3.01201123664447
139,0.1,3,200,0.4,3.03322785566416
177,0.04,1,500,0.4,3.23044325195147
308,0.06,2,100,0.2,3.38006188438244
357,0.04,2,400,0.2,3.45652011473576
115,0.14,3,100,0.4,3.66558692555441
462,0.04,3,400,0.1,3.69876343313778
223,0.06,5,100,0.3,3.81804798503922
439,0.1,3,200,0.1,4.05813934451602
382,0.04,2,500,0.2,4.08739718102765
396,0.01,5,500,0.2,4.43448778241344
282,0.04,2,500,0.3,4.69802285411465
15,0.14,3,100,0.5,4.79710679409286
372,0.04,5,400,0.2,5.03613248900687
435,0.14,2,200,0.1,5.10580958516419
304,0.1,1,100,0.2,5.10873025334678
492,0.04,4,500,0.1,5.78163551738541
172,0.04,5,400,0.4,5.7972097364479
477,0.04,1,500,0.1,6.06664871262716
458,0.06,2,400,0.1,6.18603349903923
29,0.1,1,200,0.5,6.2356281065951
248,0.06,5,200,0.3,6.24565059587815
262,0.04,3,400,0.3,6.60746901935217
82,0.04,2,500,0.5,6.63068629946078
33,0.06,2,200,0.5,7.0154148513532
110,0.14,2,100,0.4,7.14007324445279
10,0.14,2,100,0.5,7.15828922103776
272,0.04,5,400,0.3,7.43731770646841
133,0.06,2,200,0.4,7.48423946573791
72,0.04,5,400,0.5,8.43194344792372
157,0.04,2,400,0.4,8.60055561132892
225,0.14,5,100,0.3,8.8637582144877
320,0.14,4,100,0.2,8.89189500304045
53,0.06,1,400,0.5,8.99808653271383
483,0.06,2,500,0.1,9.31406239778661
125,0.14,5,100,0.4,10.4620511011894
453,0.06,1,400,0.1,10.7729122130847
105,0.14,1,100,0.4,10.9875186113801
97,0.04,5,500,0.5,11.9541548143841
277,0.04,1,500,0.3,13.2623122533353
20,0.14,4,100,0.5,13.2739269208255
57,0.04,2,400,0.5,13.6854355363361
77,0.04,1,500,0.5,14.7605202100861
233,0.06,2,200,0.3,15.2265773634554
220,0.14,4,100,0.3,15.3271051524429
287,0.04,3,500,0.3,15.3477105623144
239,0.1,3,200,0.3,15.9226429210255
104,0.1,1,100,0.4,17.0999846003175
310,0.14,2,100,0.2,17.3007964006066
315,0.14,3,100,0.2,18.1480201159333
167,0.04,4,400,0.4,18.1660970168567
434,0.1,2,200,0.1,18.3085296030552
92,0.04,4,500,0.5,19.3720211774658
5,0.14,1,100,0.5,20.3346033579796
463,0.06,3,400,0.1,21.2150209262887
487,0.04,3,500,0.1,21.5426052293857
197,0.04,5,500,0.4,21.782502336087
397,0.04,5,500,0.2,22.1792001968559
429,0.1,1,200,0.1,23.3606502218268
182,0.04,2,500,0.4,28.4874140622797
144,0.1,4,200,0.4,29.4307095227528
120,0.14,4,100,0.4,29.6265536468729
192,0.04,4,500,0.4,31.1689412790378
152,0.04,1,400,0.4,33.1846136785446
73,0.06,5,400,0.5,52.0253411738283
234,0.1,2,200,0.3,60.510714028947
244,0.1,4,200,0.3,61.7793397863672
58,0.06,2,400,0.5,63.2986996962051
392,0.04,4,500,0.2,67.4207196672164
49,0.1,5,200,0.5,68.348851969615
468,0.06,4,400,0.1,68.4581007100248
377,0.04,1,500,0.2,80.3477597781421
63,0.06,3,400,0.5,95.3246236401228
134,0.1,2,200,0.4,105.505453407828
498,0.06,5,500,0.1,114.150104077882
488,0.06,3,500,0.1,125.737658912344
473,0.06,5,400,0.1,143.303940612324
187,0.04,3,500,0.4,147.927714132606
450,0.14,5,200,0.1,169.155162830451
292,0.04,4,500,0.3,173.631232097812
88,0.06,3,500,0.5,197.47299848236
68,0.06,4,400,0.5,213.463836118824
368,0.06,4,400,0.2,221.051654935472
39,0.1,3,200,0.5,232.917861062284
205,0.14,1,100,0.3,272.520241481001
34,0.1,2,200,0.5,287.19901497314
149,0.1,5,200,0.4,410.453900451634
44,0.1,4,200,0.5,414.756723522396
297,0.04,5,500,0.3,427.14620727346
158,0.06,2,400,0.4,538.125765474655
344,0.1,4,200,0.2,653.268070037324
387,0.04,3,500,0.2,654.785811914652
168,0.06,4,400,0.4,732.973570466569
349,0.1,5,200,0.2,737.065476421413
493,0.06,4,500,0.1,945.044470448818
339,0.1,3,200,0.2,1018.03405502719
40,0.14,3,200,0.5,1177.28596772807
329,0.1,1,200,0.2,1277.00412583257
163,0.06,3,400,0.4,1412.21338451326
263,0.06,3,400,0.3,1621.478291851
353,0.06,1,400,0.2,1660.73427189071
129,0.1,1,200,0.4,1732.72583416272
253,0.06,1,400,0.3,1798.62701545686
249,0.1,5,200,0.3,2676.16744353172
229,0.1,1,200,0.3,2681.62253483521
334,0.1,2,200,0.2,2875.41330083936
153,0.06,1,400,0.4,3017.34965682841
273,0.06,5,400,0.3,3042.36221755235
373,0.06,5,400,0.2,4068.13429374838
445,0.14,4,200,0.1,9987.06706863366
173,0.06,5,400,0.4,10801.0363612469
378,0.06,1,500,0.2,12620.2804472839
454,0.1,1,400,0.1,13624.0010754926
83,0.06,2,500,0.5,14695.6262899345
363,0.06,3,400,0.2,16481.4603180929
268,0.06,4,400,0.3,35079.733807417
78,0.06,1,500,0.5,124171.881877978
45,0.14,4,200,0.5,146418.845472787
50,0.14,5,200,0.5,197581.232572454
93,0.06,4,500,0.5,240408.057237945
388,0.06,3,500,0.2,365398.787513256
398,0.06,5,500,0.2,624337.369731232
335,0.14,2,200,0.2,758910.073775418
188,0.06,3,500,0.4,816490.776745847
479,0.1,1,500,0.1,1255869.27086469
193,0.06,4,500,0.4,1319413.74329753
440,0.14,3,200,0.1,1331687.4111026
178,0.06,1,500,0.4,1610898.50782733
98,0.06,5,500,0.5,2672768.06389982
298,0.06,5,500,0.3,2698135.02678382
30,0.14,1,200,0.5,3159451.01176904
35,0.14,2,200,0.5,3263303.40154428
358,0.06,2,400,0.2,3573605.55763216
465,0.14,3,400,0.1,8698271.43646537
145,0.14,4,200,0.4,8817754.42121037
183,0.06,2,500,0.4,13951981.0452558
198,0.06,5,500,0.4,14003236.6889876
278,0.06,1,500,0.3,14423286.3458136
258,0.06,2,400,0.3,49172194.7487161
469,0.1,4,400,0.1,148127730.95388
350,0.14,5,200,0.2,192518018.680127
130,0.14,1,200,0.4,462442350.149006
345,0.14,4,200,0.2,754570184.130904
140,0.14,3,200,0.4,816874930.635168
150,0.14,5,200,0.4,1247775224.10566
383,0.06,2,500,0.2,1340355453.27784
230,0.14,1,200,0.3,3385580981.26324
330,0.14,1,200,0.2,5534137345.96173
393,0.06,4,500,0.2,7031615973.80416
459,0.1,2,400,0.1,7278433241.60292
293,0.06,4,500,0.3,11445361376.1845
54,0.1,1,400,0.5,13707582410.4755
235,0.14,2,200,0.3,16853058199.1323
59,0.1,2,400,0.5,21809930848.8076
474,0.1,5,400,0.1,34930816978.4153
283,0.06,2,500,0.3,140689401832.486
240,0.14,3,200,0.3,205361190627.121
250,0.14,5,200,0.3,468112496100.387
64,0.1,3,400,0.5,1441731090000.59
74,0.1,5,400,0.5,2387942829867.16
135,0.14,2,200,0.4,3251663752672.13
69,0.1,4,400,0.5,36075018723371.2
464,0.1,3,400,0.1,218105744025338
340,0.14,3,200,0.2,357746704774086
288,0.06,3,500,0.3,516365417154824
364,0.1,3,400,0.2,5054493510212690
154,0.1,1,400,0.4,12710417671433538
245,0.14,4,200,0.3,12954818853330476
169,0.1,4,400,0.4,20541932833089916
94,0.1,4,500,0.5,570541117345604352
55,0.14,1,400,0.5,1994448426990811904
354,0.1,1,400,0.2,2393841025105548800
174,0.1,5,400,0.4,6075803646656565248
79,0.1,1,500,0.5,82210705465223921664
484,0.1,2,500,0.1,4.29157994808095e+22
164,0.1,3,400,0.4,6.06374452827024e+22
499,0.1,5,500,0.1,6.22481094297274e+22
374,0.1,5,400,0.2,9.66330946461143e+22
259,0.1,2,400,0.3,4.92267212590537e+23
99,0.1,5,500,0.5,3.43985098532887e+24
274,0.1,5,400,0.3,6.52989877403403e+24
489,0.1,3,500,0.1,1.84931785179309e+25
184,0.1,2,500,0.4,4.16549810567145e+25
494,0.1,4,500,0.1,5.71413848646278e+25
254,0.1,1,400,0.3,1.01795692877801e+26
460,0.14,2,400,0.1,1.56104583638072e+26
89,0.1,3,500,0.5,2.03577705956446e+26
159,0.1,2,400,0.4,2.25723271861828e+26
84,0.1,2,500,0.5,2.43364115886287e+26
359,0.1,2,400,0.2,5.71558744088926e+26
369,0.1,4,400,0.2,2.16116573489448e+28
65,0.14,3,400,0.5,5.00732470653573e+28
264,0.1,3,400,0.3,6.49049829404481e+29
75,0.14,5,400,0.5,8.13590555240314e+30
179,0.1,1,500,0.4,2.12099414568385e+31
389,0.1,3,500,0.2,3.8920290365187e+31
480,0.14,1,500,0.1,5.00738644166198e+31
475,0.14,5,400,0.1,5.92904839000765e+31
269,0.1,4,400,0.3,7.43494567513605e+31
60,0.14,2,400,0.5,7.91042582257617e+31
189,0.1,3,500,0.4,5.8660362473445e+32
455,0.14,1,400,0.1,9.36215450949041e+32
194,0.1,4,500,0.4,1.30750339954275e+33
289,0.1,3,500,0.3,1.54983381491213e+33
199,0.1,5,500,0.4,1.87985618860929e+33
399,0.1,5,500,0.2,2.63681546940503e+33
70,0.14,4,400,0.5,9.01819728140533e+34
495,0.14,4,500,0.1,1.92549511125704e+35
279,0.1,1,500,0.3,2.48871695445869e+35
384,0.1,2,500,0.2,8.83206713384671e+36
170,0.14,4,400,0.4,1.30593337220949e+37
294,0.1,4,500,0.3,7.28427818153819e+37
155,0.14,1,400,0.4,2.43559156479227e+38
470,0.14,4,400,0.1,3.28053495654931e+38
100,0.14,5,500,0.5,6.5010339824209e+38
175,0.14,5,400,0.4,1.2843716923302e+39
165,0.14,3,400,0.4,1.95685107176614e+39
85,0.14,2,500,0.5,2.30205260765324e+39
394,0.1,4,500,0.2,2.32797041140144e+39
80,0.14,1,500,0.5,2.31290840718555e+40
485,0.14,2,500,0.1,1.43064852234346e+41
95,0.14,4,500,0.5,2.18264426782597e+41
160,0.14,2,400,0.4,2.27787671017754e+41
365,0.14,3,400,0.2,3.44814349339937e+41
379,0.1,1,500,0.2,9.67222419232677e+41
284,0.1,2,500,0.3,1.56825557927304e+42
370,0.14,4,400,0.2,3.44767481494741e+42
360,0.14,2,400,0.2,4.85514650658007e+42
265,0.14,3,400,0.3,1.29484267904128e+44
90,0.14,3,500,0.5,2.05979349330998e+44
275,0.14,5,400,0.3,4.65094803938365e+44
500,0.14,5,500,0.1,6.73790691883751e+44
260,0.14,2,400,0.3,3.91260888214184e+45
255,0.14,1,400,0.3,5.98455977710763e+45
375,0.14,5,400,0.2,8.35164778266936e+45
385,0.14,2,500,0.2,8.99420113659512e+45
355,0.14,1,400,0.2,1.60138757846072e+46
270,0.14,4,400,0.3,4.44521340688559e+46
299,0.1,5,500,0.3,1.04240688859881e+47
195,0.14,4,500,0.4,1.2959168622898e+49
285,0.14,2,500,0.3,1.41681643084168e+49
185,0.14,2,500,0.4,2.39594487158559e+49
400,0.14,5,500,0.2,4.75895126794487e+49
395,0.14,4,500,0.2,5.30858707035662e+49
180,0.14,1,500,0.4,7.13632244013942e+49
280,0.14,1,500,0.3,1.34074583862875e+50
200,0.14,5,500,0.4,1.40511577093867e+50
190,0.14,3,500,0.4,2.85982141331918e+50
380,0.14,1,500,0.2,1.06255776071557e+51
290,0.14,3,500,0.3,6.90190401674141e+51
390,0.14,3,500,0.2,2.18425092071637e+52
295,0.14,4,500,0.3,4.41452867853774e+52
490,0.14,3,500,0.1,5.45798940769516e+52
300,0.14,5,500,0.3,1.58017808641592e+56
